source: ,"Table 32-10-0358-01  Area, production and farm value of potatoes",,,,,,,,,,,,,
REF_DATE,GEO,DGUID,"Area, production and farm value of potatoes",UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1908,New Brunswick,2016A000213,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47176,5.4,0.7,,,,2
1908,New Brunswick,2016A000213,"Total farm value, potatoes",Dollars,81,thousands,3,v47187,5.5,4705,,,,0
1908,Quebec,2016A000224,"Seeded area, potatoes",Acres,28,units ,0,v47144,6.1,139000,,,,0
1908,Quebec,2016A000224,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47155,6.2,72,,,,1
1908,Quebec,2016A000224,"Production, potatoes",Hundredweight,156,thousands,3,v47166,6.3,10008,,,,0
1908,Quebec,2016A000224,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47177,6.4,0.93,,,,2
1908,Quebec,2016A000224,"Total farm value, potatoes",Dollars,81,thousands,3,v47188,6.5,9341,,,,0
1908,Ontario,2016A000235,"Seeded area, potatoes",Acres,28,units ,0,v47145,7.1,183300,,,,0
1908,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47156,7.2,75.6,,,,1
1908,Ontario,2016A000235,"Production, potatoes",Hundredweight,156,thousands,3,v47167,7.3,13858,,,,0
1908,Ontario,2016A000235,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47178,7.4,0.88,,,,2
1908,Ontario,2016A000235,"Total farm value, potatoes",Dollars,81,thousands,3,v47189,7.5,12241,,,,0
1908,Manitoba,2016A000246,"Seeded area, potatoes",Acres,28,units ,0,v47146,8.1,20800,,,,0
1908,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47157,8.2,109.8,,,,1
1908,Manitoba,2016A000246,"Production, potatoes",Hundredweight,156,thousands,3,v47168,8.3,2284,,,,0
1908,Manitoba,2016A000246,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47179,8.4,0.63,,,,2
1908,Manitoba,2016A000246,"Total farm value, potatoes",Dollars,81,thousands,3,v47190,8.5,1447,,,,0
1908,Saskatchewan,2016A000247,"Seeded area, potatoes",Acres,28,units ,0,v47147,9.1,16600,,,,0
1908,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47158,9.2,66,,,,1
1908,Saskatchewan,2016A000247,"Production, potatoes",Hundredweight,156,thousands,3,v47169,9.3,1096,,,,0
1908,Saskatchewan,2016A000247,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47180,9.4,0.98,,,,2
1908,Saskatchewan,2016A000247,"Total farm value, potatoes",Dollars,81,thousands,3,v47191,9.5,1077,,,,0
1908,Alberta,2016A000248,"Seeded area, potatoes",Acres,28,units ,0,v47148,10.1,13200,,,,0
1908,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47159,10.2,89.4,,,,1
1908,Alberta,2016A000248,"Production, potatoes",Hundredweight,156,thousands,3,v47170,10.3,1180,,,,0
1908,Alberta,2016A000248,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47181,10.4,0.73,,,,2
1908,Alberta,2016A000248,"Total farm value, potatoes",Dollars,81,thousands,3,v47192,10.5,865,,,,0
1909,Canada,2016A000011124,"Seeded area, potatoes",Acres,28,units ,0,v47140,1.1,513500,,,,0
1909,Canada,2016A000011124,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47151,1.2,115.8,,,,1
1909,Canada,2016A000011124,"Production, potatoes",Hundredweight,156,thousands,3,v47162,1.3,59453,,,,0
1909,Canada,2016A000011124,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47173,1.4,0.61,,,,2
1909,Canada,2016A000011124,"Total farm value, potatoes",Dollars,81,thousands,3,v47184,1.5,36399,,,,0
1909,Prince Edward Island,2016A000211,"Seeded area, potatoes",Acres,28,units ,0,v47141,3.1,34000,,,,0
1909,Prince Edward Island,2016A000211,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47152,3.2,119.3,,,,1
1909,Prince Edward Island,2016A000211,"Production, potatoes",Hundredweight,156,thousands,3,v47163,3.3,4057,,,,0
1909,Prince Edward Island,2016A000211,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47174,3.4,0.33,,,,2
1909,Prince Edward Island,2016A000211,"Total farm value, potatoes",Dollars,81,thousands,3,v47185,3.5,1354,,,,0
1909,Nova Scotia,2016A000212,"Seeded area, potatoes",Acres,28,units ,0,v47142,4.1,43900,,,,0
1909,Nova Scotia,2016A000212,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47153,4.2,124.4,,,,1
1909,Nova Scotia,2016A000212,"Production, potatoes",Hundredweight,156,thousands,3,v47164,4.3,5459,,,,0
1909,Nova Scotia,2016A000212,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47175,4.4,0.77,,,,2
1909,Nova Scotia,2016A000212,"Total farm value, potatoes",Dollars,81,thousands,3,v47186,4.5,4185,,,,0
1909,New Brunswick,2016A000213,"Seeded area, potatoes",Acres,28,units ,0,v47143,5.1,58600,,,,0
1909,New Brunswick,2016A000213,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47154,5.2,125.4,,,,1
1909,New Brunswick,2016A000213,"Production, potatoes",Hundredweight,156,thousands,3,v47165,5.3,7348,,,,0
1909,New Brunswick,2016A000213,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47176,5.4,0.57,,,,2
1909,New Brunswick,2016A000213,"Total farm value, potatoes",Dollars,81,thousands,3,v47187,5.5,4164,,,,0
1909,Quebec,2016A000224,"Seeded area, potatoes",Acres,28,units ,0,v47144,6.1,143500,,,,0
1909,Quebec,2016A000224,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47155,6.2,129,,,,1
1909,Quebec,2016A000224,"Production, potatoes",Hundredweight,156,thousands,3,v47166,6.3,18513,,,,0
1909,Quebec,2016A000224,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47177,6.4,0.57,,,,2
1909,Quebec,2016A000224,"Total farm value, potatoes",Dollars,81,thousands,3,v47188,6.5,10490,,,,0
1909,Ontario,2016A000235,"Seeded area, potatoes",Acres,28,units ,0,v47145,7.1,181000,,,,0
1909,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47156,7.2,97.7,,,,1
1909,Ontario,2016A000235,"Production, potatoes",Hundredweight,156,thousands,3,v47167,7.3,17679,,,,0
1909,Ontario,2016A000235,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47178,7.4,0.7,,,,2
1909,Ontario,2016A000235,"Total farm value, potatoes",Dollars,81,thousands,3,v47189,7.5,12375,,,,0
1909,Manitoba,2016A000246,"Seeded area, potatoes",Acres,28,units ,0,v47146,8.1,20700,,,,0
1909,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47157,8.2,119.4,,,,1
1909,Manitoba,2016A000246,"Production, potatoes",Hundredweight,156,thousands,3,v47168,8.3,2471,,,,0
1909,Manitoba,2016A000246,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47179,8.4,0.53,,,,2
1909,Manitoba,2016A000246,"Total farm value, potatoes",Dollars,81,thousands,3,v47190,8.5,1318,,,,0
1909,Saskatchewan,2016A000247,"Seeded area, potatoes",Acres,28,units ,0,v47147,9.1,16800,,,,0
1909,Saskatchewan,2016A000247,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47158,9.2,140.8,,,,1
1909,Saskatchewan,2016A000247,"Production, potatoes",Hundredweight,156,thousands,3,v47169,9.3,2366,,,,0
1909,Saskatchewan,2016A000247,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47180,9.4,0.63,,,,2
1909,Saskatchewan,2016A000247,"Total farm value, potatoes",Dollars,81,thousands,3,v47191,9.5,1499,,,,0
1909,Alberta,2016A000248,"Seeded area, potatoes",Acres,28,units ,0,v47148,10.1,15000,,,,0
1909,Alberta,2016A000248,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47159,10.2,104,,,,1
1909,Alberta,2016A000248,"Production, potatoes",Hundredweight,156,thousands,3,v47170,10.3,1560,,,,0
1909,Alberta,2016A000248,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47181,10.4,0.65,,,,2
1909,Alberta,2016A000248,"Total farm value, potatoes",Dollars,81,thousands,3,v47192,10.5,1014,,,,0
1910,Canada,2016A000011124,"Seeded area, potatoes",Acres,28,units ,0,v47140,1.1,464500,,,,0
1910,Canada,2016A000011124,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47151,1.2,71.6,,,,1
1910,Canada,2016A000011124,"Production, potatoes",Hundredweight,156,thousands,3,v47162,1.3,33277,,,,0
1910,Canada,2016A000011124,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47173,1.4,0.82,,,,2
1910,Canada,2016A000011124,"Total farm value, potatoes",Dollars,81,thousands,3,v47184,1.5,27427,,,,0
1910,Prince Edward Island,2016A000211,"Seeded area, potatoes",Acres,28,units ,0,v47141,3.1,30600,,,,0
1910,Prince Edward Island,2016A000211,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47152,3.2,82.4,,,,1
1910,Prince Edward Island,2016A000211,"Production, potatoes",Hundredweight,156,thousands,3,v47163,3.3,2522,,,,0
1910,Prince Edward Island,2016A000211,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47174,3.4,0.57,,,,2
1910,Prince Edward Island,2016A000211,"Total farm value, potatoes",Dollars,81,thousands,3,v47185,3.5,1429,,,,0
1910,Nova Scotia,2016A000212,"Seeded area, potatoes",Acres,28,units ,0,v47142,4.1,30800,,,,0
1910,Nova Scotia,2016A000212,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47153,4.2,68.8,,,,1
1910,Nova Scotia,2016A000212,"Production, potatoes",Hundredweight,156,thousands,3,v47164,4.3,2119,,,,0
1910,Nova Scotia,2016A000212,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47175,4.4,0.82,,,,2
1910,Nova Scotia,2016A000212,"Total farm value, potatoes",Dollars,81,thousands,3,v47186,4.5,1739,,,,0
1910,New Brunswick,2016A000213,"Seeded area, potatoes",Acres,28,units ,0,v47143,5.1,40400,,,,0
1910,New Brunswick,2016A000213,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47154,5.2,77.5,,,,1
1910,New Brunswick,2016A000213,"Production, potatoes",Hundredweight,156,thousands,3,v47165,5.3,3131,,,,0
1910,New Brunswick,2016A000213,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47176,5.4,0.69,,,,2
1910,New Brunswick,2016A000213,"Total farm value, potatoes",Dollars,81,thousands,3,v47187,5.5,2167,,,,0
1910,Quebec,2016A000224,"Seeded area, potatoes",Acres,28,units ,0,v47144,6.1,123100,,,,0
1910,Quebec,2016A000224,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47155,6.2,75.3,,,,1
1910,Quebec,2016A000224,"Production, potatoes",Hundredweight,156,thousands,3,v47166,6.3,9271,,,,0
1910,Quebec,2016A000224,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47177,6.4,0.83,,,,2
1910,Quebec,2016A000224,"Total farm value, potatoes",Dollars,81,thousands,3,v47188,6.5,7671,,,,0
1910,Ontario,2016A000235,"Seeded area, potatoes",Acres,28,units ,0,v47145,7.1,158400,,,,0
1910,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47156,7.2,65.5,,,,1
1910,Ontario,2016A000235,"Production, potatoes",Hundredweight,156,thousands,3,v47167,7.3,10380,,,,0
1910,Ontario,2016A000235,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47178,7.4,0.84,,,,2
1910,Ontario,2016A000235,"Total farm value, potatoes",Dollars,81,thousands,3,v47189,7.5,8693,,,,0
1910,Manitoba,2016A000246,"Seeded area, potatoes",Acres,28,units ,0,v47146,8.1,26200,,,,0
1910,Manitoba,2016A000246,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47157,8.2,65.6,,,,1
